Cp,Line,Target_type,Target,IPTG,Replicate,Hours
15.64,pPC127,Control,Actin,0,2,12
15.94,pPC127,Control,Actin,0,3,12
15.56,pPC127,Control,Actin,2,1,12
15.52,pPC127,Control,Actin,2,2,12
15.80,pPC127,Control,Actin,2,3,12
16.29,pPC129,Control,Actin,0,1,12
16.02,pPC129,Control,Actin,0,2,12
15.94,pPC129,Control,Actin,0,3,12
15.48,pPC129,Control,Actin,2,1,12
14.60,pPC129,Control,Actin,2,2,12
14.72,pPC129,Control,Actin,2,3,12
,pPC127,Control,Actin,0,1,12
,pPC127,Control,Actin,0,2,12
,pPC127,Control,Actin,0,3,12
,pPC127,Control,Actin,2,1,12
,pPC127,Control,Actin,2,2,12
,pPC127,Control,Actin,2,3,12
,pPC129,Control,Actin,0,1,12
,pPC129,Control,Actin,0,2,12
,pPC129,Control,Actin,0,3,12
,pPC129,Control,Actin,2,1,12
,pPC129,Control,Actin,2,2,12
,pPC129,Control,Actin,2,3,12
16.94,pPC089,Control,Actin,0,1,12
16.93,pPC089,Control,Actin,0,2,12
16.34,pPC089,Control,Actin,0,3,12
16.56,pPC089,Control,Actin,2,1,12
17.04,pPC089,Control,Actin,2,2,12
16.55,pPC089,Control,Actin,2,3,12
16.93,pPC089,Control,Actin,0,1,12
16.91,pPC089,Control,Actin,0,2,12
16.28,pPC089,Control,Actin,0,3,12
16.50,pPC089,Control,Actin,2,1,12
17.03,pPC089,Control,Actin,2,2,12
16.55,pPC089,Control,Actin,2,3,12
,pPC089,Control,Actin,0,1,12
,pPC089,Control,Actin,0,2,12
,pPC089,Control,Actin,0,3,12
,pPC089,Control,Actin,2,1,12
,pPC089,Control,Actin,2,2,12
,pPC089,Control,Actin,2,3,12
22.16,pPC089,Target,FLuc,0,1,12
22.08,pPC089,Target,FLuc,0,2,12
21.6,pPC089,Target,FLuc,0,3,12
18.22,pPC089,Target,FLuc,2,1,12
18.88,pPC089,Target,FLuc,2,2,12
18.43,pPC089,Target,FLuc,2,3,12
22.13,pPC089,Target,FLuc,0,1,12
22.1,pPC089,Target,FLuc,0,2,12
21.62,pPC089,Target,FLuc,0,3,12
18.26,pPC089,Target,FLuc,2,1,12
18.78,pPC089,Target,FLuc,2,2,12
18.33,pPC089,Target,FLuc,2,3,12
,pPC089,Target,FLuc,0,1,12
,pPC089,Target,FLuc,0,2,12
,pPC089,Target,FLuc,0,3,12
,pPC089,Target,FLuc,2,1,12
,pPC089,Target,FLuc,2,2,12
,pPC089,Target,FLuc,2,3,12
20.44,pPC127,Target,PI3K,0,1,12
20.26,pPC127,Target,PI3K,0,2,12
20.52,pPC127,Target,PI3K,0,3,12
18.42,pPC127,Target,PI3K,2,1,12
18.32,pPC127,Target,PI3K,2,2,12
18.58,pPC127,Target,PI3K,2,3,12
21.85,pPC129,Target,PI4K,0,1,12
21.64,pPC129,Target,PI4K,0,2,12
21.58,pPC129,Target,PI4K,0,3,12
18.84,pPC129,Target,PI4K,2,1,12
17.96,pPC129,Target,PI4K,2,2,12
18.14,pPC129,Target,PI4K,2,3,12
20.28,pPC127,Target,PI3K,0,1,12
20.15,pPC127,Target,PI3K,0,2,12
20.47,pPC127,Target,PI3K,0,3,12
18.42,pPC127,Target,PI3K,2,1,12
18.48,pPC127,Target,PI3K,2,2,12
18.53,pPC127,Target,PI3K,2,3,12
21.82,pPC129,Target,PI4K,0,1,12
21.60,pPC129,Target,PI4K,0,2,12
21.58,pPC129,Target,PI4K,0,3,12
18.80,pPC129,Target,PI4K,2,1,12
17.91,pPC129,Target,PI4K,2,2,12
18.14,pPC129,Target,PI4K,2,3,12
,pPC127,Target,PI3K,0,1,12
,pPC127,Target,PI3K,0,2,12
,pPC127,Target,PI3K,0,3,12
,pPC127,Target,PI3K,2,1,12
,pPC127,Target,PI3K,2,2,12
,pPC127,Target,PI3K,2,3,12
,pPC129,Target,PI4K,0,1,12
,pPC129,Target,PI4K,0,2,12
,pPC129,Target,PI4K,0,3,12
,pPC129,Target,PI4K,2,1,12
,pPC129,Target,PI4K,2,2,12
,pPC129,Target,PI4K,2,3,12
19.02,pPC127,Target,PI4K,0,1,12
18.90,pPC127,Target,PI4K,0,2,12
19.18,pPC127,Target,PI4K,0,3,12
18.76,pPC127,Target,PI4K,2,1,12
18.79,pPC127,Target,PI4K,2,2,12
18.88,pPC127,Target,PI4K,2,3,12
19.70,pPC129,Target,PI3K,0,1,12
19.42,pPC129,Target,PI3K,0,2,12
19.22,pPC129,Target,PI3K,0,3,12
18.75,pPC129,Target,PI3K,2,1,12
18.08,pPC129,Target,PI3K,2,2,12
18.10,pPC129,Target,PI3K,2,3,12
18.96,pPC127,Target,PI4K,0,1,12
18.99,pPC127,Target,PI4K,0,2,12
19.17,pPC127,Target,PI4K,0,3,12
18.8,pPC127,Target,PI4K,2,1,12
18.78,pPC127,Target,PI4K,2,2,12
18.91,pPC127,Target,PI4K,2,3,12
19.67,pPC129,Target,PI3K,0,1,12
19.26,pPC129,Target,PI3K,0,2,12
19.19,pPC129,Target,PI3K,0,3,12
18.79,pPC129,Target,PI3K,2,1,12
18.09,pPC129,Target,PI3K,2,2,12
18.04,pPC129,Target,PI3K,2,3,12
,pPC127,Control,Actin,0,1,24
13.23,pPC127,Control,Actin,0,1,24
13.03,pPC127,Control,Actin,0,1,24
13.18,pPC127,Control,Actin,2,1,24
13.29,pPC127,Control,Actin,2,1,24
13.45,pPC127,Control,Actin,2,1,24
13.49,pPC129,Control,Actin,0,1,24
13.52,pPC129,Control,Actin,0,1,24
13.70,pPC129,Control,Actin,0,1,24
13.72,pPC129,Control,Actin,2,1,24
13.66,pPC129,Control,Actin,2,1,24
13.94,pPC129,Control,Actin,2,1,24
12.53,pPC127,Control,Actin,0,2,24
12.66,pPC127,Control,Actin,0,2,24
12.54,pPC127,Control,Actin,0,2,24
13.74,pPC127,Control,Actin,2,2,24
13.56,pPC127,Control,Actin,2,2,24
13.67,pPC127,Control,Actin,2,2,24
13.12,pPC129,Control,Actin,0,2,24
13.52,pPC129,Control,Actin,0,2,24
13.21,pPC129,Control,Actin,0,2,24
13.45,pPC129,Control,Actin,2,2,24
13.53,pPC129,Control,Actin,2,2,24
13.59,pPC129,Control,Actin,2,2,24
12.23,pPC127,Control,Actin,0,3,24
12.46,pPC127,Control,Actin,0,3,24
12.52,pPC127,Control,Actin,0,3,24
13.77,pPC127,Control,Actin,2,3,24
13.73,pPC127,Control,Actin,2,3,24
13.80,pPC127,Control,Actin,2,3,24
12.63,pPC129,Control,Actin,0,3,24
12.96,pPC129,Control,Actin,0,3,24
13.14,pPC129,Control,Actin,0,3,24
13.78,pPC129,Control,Actin,2,3,24
14.11,pPC129,Control,Actin,2,3,24
14.04,pPC129,Control,Actin,2,3,24
13.19,pPC089,Control,Actin,0,1,24
13.48,pPC089,Control,Actin,0,1,24
13.55,pPC089,Control,Actin,0,1,24
13.89,pPC089,Control,Actin,2,1,24
13.08,pPC089,Control,Actin,2,1,24
13.17,pPC089,Control,Actin,2,1,24
13.46,pPC089,Control,Actin,0,2,24
13.18,pPC089,Control,Actin,0,2,24
13.44,pPC089,Control,Actin,0,2,24
13.11,pPC089,Control,Actin,2,2,24
11.71,pPC089,Control,Actin,2,2,24
12.23,pPC089,Control,Actin,2,2,24
13.32,pPC089,Control,Actin,0,3,24
13.22,pPC089,Control,Actin,0,3,24
13.42,pPC089,Control,Actin,0,3,24
13.12,pPC089,Control,Actin,2,3,24
11.72,pPC089,Control,Actin,2,3,24
12.26,pPC089,Control,Actin,2,3,24
22.16,pPC089,Target,FLuc,0,1,24
22.68,pPC089,Target,FLuc,0,1,24
22.44,pPC089,Target,FLuc,0,1,24
17,pPC089,Target,FLuc,2,1,24
17.02,pPC089,Target,FLuc,2,1,24
17.25,pPC089,Target,FLuc,2,1,24
22.12,pPC089,Target,FLuc,0,2,24
22.04,pPC089,Target,FLuc,0,2,24
22.28,pPC089,Target,FLuc,0,2,24
16.5,pPC089,Target,FLuc,2,2,24
16.61,pPC089,Target,FLuc,2,2,24
16.65,pPC089,Target,FLuc,2,2,24
22.47,pPC089,Target,FLuc,0,3,24
22.58,pPC089,Target,FLuc,0,3,24
22.57,pPC089,Target,FLuc,0,3,24
16.49,pPC089,Target,FLuc,2,3,24
16.79,pPC089,Target,FLuc,2,3,24
17.19,pPC089,Target,FLuc,2,3,24
19.81,pPC127,Target,PI3K,0,1,24
19.62,pPC127,Target,PI3K,0,2,24
20.43,pPC127,Target,PI3K,0,3,24
18.20,pPC127,Target,PI3K,2,1,24
18.41,pPC127,Target,PI3K,2,2,24
17.90,pPC127,Target,PI3K,2,3,24
20.95,pPC129,Target,PI4K,0,1,24
21.17,pPC129,Target,PI4K,0,2,24
21.15,pPC129,Target,PI4K,0,3,24
19.06,pPC129,Target,PI4K,2,1,24
18.69,pPC129,Target,PI4K,2,2,24
18.69,pPC129,Target,PI4K,2,3,24
20.05,pPC127,Target,PI3K,0,1,24
19.58,pPC127,Target,PI3K,0,2,24
20.26,pPC127,Target,PI3K,0,3,24
18.48,pPC127,Target,PI3K,2,1,24
18.34,pPC127,Target,PI3K,2,2,24
17.91,pPC127,Target,PI3K,2,3,24
21.08,pPC129,Target,PI4K,0,1,24
21.25,pPC129,Target,PI4K,0,2,24
21.08,pPC129,Target,PI4K,0,3,24
19.07,pPC129,Target,PI4K,2,1,24
19.07,pPC129,Target,PI4K,2,2,24
19.07,pPC129,Target,PI4K,2,3,24
20.08,pPC127,Target,PI3K,0,1,24
19.82,pPC127,Target,PI3K,0,2,24
20.19,pPC127,Target,PI3K,0,3,24
18.56,pPC127,Target,PI3K,2,1,24
18.13,pPC127,Target,PI3K,2,2,24
18.20,pPC127,Target,PI3K,2,3,24
21.45,pPC129,Target,PI4K,0,1,24
21.19,pPC129,Target,PI4K,0,2,24
21.12,pPC129,Target,PI4K,0,3,24
18.92,pPC129,Target,PI4K,2,1,24
18.93,pPC129,Target,PI4K,2,2,24
18.93,pPC129,Target,PI4K,2,3,24
18.01,pPC127,Target,PI4K,0,1,24
18.26,pPC127,Target,PI4K,0,2,24
18.66,pPC127,Target,PI4K,0,3,24
18.70,pPC127,Target,PI4K,2,1,24
19.21,pPC127,Target,PI4K,2,2,24
18.50,pPC127,Target,PI4K,2,3,24
18.58,pPC129,Target,PI3K,0,1,24
18.28,pPC129,Target,PI3K,0,2,24
18.57,pPC129,Target,PI3K,0,3,24
18.49,pPC129,Target,PI3K,2,1,24
18.71,pPC129,Target,PI3K,2,2,24
18.70,pPC129,Target,PI3K,2,3,24
16.65,pPC127,Control,Actin,0,1,48
17.42,pPC127,Control,Actin,0,2,48
16.78,pPC127,Control,Actin,0,3,48
15.69,pPC127,Control,Actin,2,1,48
17.02,pPC127,Control,Actin,2,2,48
17.05,pPC127,Control,Actin,2,3,48
16.06,pPC129,Control,Actin,0,1,48
15.94,pPC129,Control,Actin,0,2,48
15.50,pPC129,Control,Actin,0,3,48
17.65,pPC129,Control,Actin,2,1,48
16.54,pPC129,Control,Actin,2,2,48
16.96,pPC129,Control,Actin,2,3,48
16.56,pPC127,Control,Actin,0,1,48
17.05,pPC127,Control,Actin,0,2,48
16.75,pPC127,Control,Actin,0,3,48
15.69,pPC127,Control,Actin,2,1,48
16.89,pPC127,Control,Actin,2,2,48
17.00,pPC127,Control,Actin,2,3,48
16.00,pPC129,Control,Actin,0,1,48
15.85,pPC129,Control,Actin,0,2,48
15.24,pPC129,Control,Actin,0,3,48
17.47,pPC129,Control,Actin,2,1,48
16.57,pPC129,Control,Actin,2,2,48
16.89,pPC129,Control,Actin,2,3,48
16.45,pPC127,Control,Actin,0,1,48
17.23,pPC127,Control,Actin,0,2,48
16.77,pPC127,Control,Actin,0,3,48
15.70,pPC127,Control,Actin,2,1,48
16.92,pPC127,Control,Actin,2,2,48
17.06,pPC127,Control,Actin,2,3,48
16.05,pPC129,Control,Actin,0,1,48
15.89,pPC129,Control,Actin,0,2,48
15.53,pPC129,Control,Actin,0,3,48
17.65,pPC129,Control,Actin,2,1,48
16.63,pPC129,Control,Actin,2,2,48
16.94,pPC129,Control,Actin,2,3,48
13.43,pPC089,Control,Actin,0,1,48
14.42,pPC089,Control,Actin,0,2,48
14.91,pPC089,Control,Actin,0,3,48
14.15,pPC089,Control,Actin,2,1,48
14.48,pPC089,Control,Actin,2,2,48
14.69,pPC089,Control,Actin,2,3,48
13.34,pPC089,Control,Actin,0,1,48
14.34,pPC089,Control,Actin,0,2,48
14.90,pPC089,Control,Actin,0,3,48
14.12,pPC089,Control,Actin,2,1,48
14.54,pPC089,Control,Actin,2,2,48
14.61,pPC089,Control,Actin,2,3,48
,pPC089,Control,Actin,0,1,48
,pPC089,Control,Actin,0,2,48
,pPC089,Control,Actin,0,3,48
,pPC089,Control,Actin,2,1,48
,pPC089,Control,Actin,2,2,48
,pPC089,Control,Actin,2,3,48
19.52,pPC089,Target,FLuc,0,1,48
20.3,pPC089,Target,FLuc,0,2,48
20.79,pPC089,Target,FLuc,0,3,48
16.48,pPC089,Target,FLuc,2,1,48
16.73,pPC089,Target,FLuc,2,2,48
16.81,pPC089,Target,FLuc,2,3,48
19.47,pPC089,Target,FLuc,0,1,48
20.5,pPC089,Target,FLuc,0,2,48
20.83,pPC089,Target,FLuc,0,3,48
16.55,pPC089,Target,FLuc,2,1,48
16.8,pPC089,Target,FLuc,2,2,48
16.82,pPC089,Target,FLuc,2,3,48
,pPC089,Target,FLuc,0,1,48
,pPC089,Target,FLuc,0,2,48
,pPC089,Target,FLuc,0,3,48
,pPC089,Target,FLuc,2,1,48
,pPC089,Target,FLuc,2,2,48
,pPC089,Target,FLuc,2,3,48
21.29,pPC127,Target,PI3K,0,1,48
21.91,pPC127,Target,PI3K,0,2,48
21.49,pPC127,Target,PI3K,0,3,48
18.43,pPC127,Target,PI3K,2,1,48
19.72,pPC127,Target,PI3K,2,2,48
19.80,pPC127,Target,PI3K,2,3,48
24.47,pPC129,Target,PI4K,0,1,48
24.43,pPC129,Target,PI4K,0,2,48
22.76,pPC129,Target,PI4K,0,3,48
,pPC129,Target,PI4K,2,1,48
18.76,pPC129,Target,PI4K,2,2,48
19.88,pPC129,Target,PI4K,2,3,48
21.22,pPC127,Target,PI3K,0,1,48
21.91,pPC127,Target,PI3K,0,2,48
21.46,pPC127,Target,PI3K,0,3,48
18.32,pPC127,Target,PI3K,2,1,48
19.67,pPC127,Target,PI3K,2,2,48
19.77,pPC127,Target,PI3K,2,3,48
24.47,pPC129,Target,PI4K,0,1,48
24.27,pPC129,Target,PI4K,0,2,48
22.53,pPC129,Target,PI4K,0,3,48
20.45,pPC129,Target,PI4K,2,1,48
19.43,pPC129,Target,PI4K,2,2,48
19.90,pPC129,Target,PI4K,2,3,48
21.15,pPC127,Target,PI3K,0,1,48
21.88,pPC127,Target,PI3K,0,2,48
21.43,pPC127,Target,PI3K,0,3,48
18.31,pPC127,Target,PI3K,2,1,48
19.64,pPC127,Target,PI3K,2,2,48
19.76,pPC127,Target,PI3K,2,3,48
24.50,pPC129,Target,PI4K,0,1,48
24.24,pPC129,Target,PI4K,0,2,48
22.68,pPC129,Target,PI4K,0,3,48
20.46,pPC129,Target,PI4K,2,1,48
19.43,pPC129,Target,PI4K,2,2,48
19.85,pPC129,Target,PI4K,2,3,48
20.89,pPC127,Control,Actin,0,1,72
23.27,pPC127,Control,Actin,0,2,72
,pPC127,Control,Actin,0,3,72
21.15,pPC129,Control,Actin,0,1,72
21.74,pPC129,Control,Actin,0,2,72
20.76,pPC129,Control,Actin,0,3,72
,pPC127,Control,Actin,0,1,72
20.71,pPC127,Control,Actin,0,2,72
20.95,pPC127,Control,Actin,0,3,72
21.14,pPC129,Control,Actin,0,1,72
20.06,pPC129,Control,Actin,0,2,72
20.68,pPC129,Control,Actin,0,3,72
,pPC127,Control,Actin,0,1,72
22.53,pPC127,Control,Actin,0,2,72
19.16,pPC127,Control,Actin,0,3,72
,pPC129,Control,Actin,0,1,72
22.59,pPC129,Control,Actin,0,2,72
19.71,pPC129,Control,Actin,0,3,72
16.45,pPC127,Control,Actin,2,1,72
14.99,pPC127,Control,Actin,2,2,72
14.55,pPC127,Control,Actin,2,3,72
15.66,pPC129,Control,Actin,2,1,72
16.55,pPC129,Control,Actin,2,2,72
15.50,pPC129,Control,Actin,2,3,72
15.95,pPC127,Control,Actin,2,1,72
19.02,pPC127,Control,Actin,2,2,72
15.45,pPC127,Control,Actin,2,3,72
15.56,pPC129,Control,Actin,2,1,72
15.88,pPC129,Control,Actin,2,2,72
15.24,pPC129,Control,Actin,2,3,72
15.29,pPC127,Control,Actin,2,1,72
15.71,pPC127,Control,Actin,2,2,72
15.83,pPC127,Control,Actin,2,3,72
14.89,pPC129,Control,Actin,2,1,72
16.89,pPC129,Control,Actin,2,2,72
15.22,pPC129,Control,Actin,2,3,72
20.77,pPC127,Target,PI3K,0,1,72
20.19,pPC127,Target,PI3K,0,2,72
19.74,pPC127,Target,PI3K,0,3,72
22.83,pPC129,Target,PI4K,0,1,72
21.27,pPC129,Target,PI4K,0,2,72
21.17,pPC129,Target,PI4K,0,3,72
20.94,pPC127,Target,PI3K,0,1,72
20.26,pPC127,Target,PI3K,0,2,72
19.74,pPC127,Target,PI3K,0,3,72
22.60,pPC129,Target,PI4K,0,1,72
21.46,pPC129,Target,PI4K,0,2,72
21.22,pPC129,Target,PI4K,0,3,72
19.90,pPC127,Target,PI3K,0,1,72
20.17,pPC127,Target,PI3K,0,2,72
19.65,pPC127,Target,PI3K,0,3,72
22.63,pPC129,Target,PI4K,0,1,72
21.48,pPC129,Target,PI4K,0,2,72
21.17,pPC129,Target,PI4K,0,3,72
15.56,pPC127,Target,PI3K,2,1,72
14.82,pPC127,Target,PI3K,2,2,72
14.53,pPC127,Target,PI3K,2,3,72
15.58,pPC129,Target,PI4K,2,1,72
16.05,pPC129,Target,PI4K,2,2,72
15.75,pPC129,Target,PI4K,2,3,72
15.63,pPC127,Target,PI3K,2,1,72
15.01,pPC127,Target,PI3K,2,2,72
14.55,pPC127,Target,PI3K,2,3,72
15.67,pPC129,Target,PI4K,2,1,72
16.06,pPC129,Target,PI4K,2,2,72
15.84,pPC129,Target,PI4K,2,3,72
15.54,pPC127,Target,PI3K,2,1,72
14.92,pPC127,Target,PI3K,2,2,72
14.57,pPC127,Target,PI3K,2,3,72
15.69,pPC129,Target,PI4K,2,1,72
16.05,pPC129,Target,PI4K,2,2,72
16.01,pPC129,Target,PI4K,2,3,72
20.22,pPC089,Control,Actin,0,1,72
17.81,pPC089,Control,Actin,0,2,72
19.73,pPC089,Control,Actin,0,3,72
20.84,pPC089,Control,Actin,2,1,72
18.16,pPC089,Control,Actin,2,2,72
18.99,pPC089,Control,Actin,2,3,72
,pPC089,Control,Actin,0,1,72
,pPC089,Control,Actin,0,2,72
,pPC089,Control,Actin,0,3,72
,pPC089,Control,Actin,2,1,72
,pPC089,Control,Actin,2,2,72
,pPC089,Control,Actin,2,3,72
,pPC089,Control,Actin,0,1,72
,pPC089,Control,Actin,0,2,72
,pPC089,Control,Actin,0,3,72
,pPC089,Control,Actin,2,1,72
,pPC089,Control,Actin,2,2,72
,pPC089,Control,Actin,2,3,72
22.16,pPC089,Target,FLuc,0,1,72
22.68,pPC089,Target,FLuc,0,2,72
22.44,pPC089,Target,FLuc,0,3,72
17,pPC089,Target,FLuc,2,1,72
17.02,pPC089,Target,FLuc,2,2,72
17.25,pPC089,Target,FLuc,2,3,72
22.12,pPC089,Target,FLuc,0,1,72
22.04,pPC089,Target,FLuc,0,2,72
22.28,pPC089,Target,FLuc,0,3,72
16.5,pPC089,Target,FLuc,2,1,72
16.61,pPC089,Target,FLuc,2,2,72
16.65,pPC089,Target,FLuc,2,3,72
22.47,pPC089,Target,FLuc,0,1,72
22.58,pPC089,Target,FLuc,0,2,72
22.57,pPC089,Target,FLuc,0,3,72
16.49,pPC089,Target,FLuc,2,1,72
16.79,pPC089,Target,FLuc,2,2,72
17.19,pPC089,Target,FLuc,2,3,72
20.22,pPC071,Control,Actin,0,1,72
17.81,pPC071,Control,Actin,0,2,72
19.73,pPC071,Control,Actin,0,3,72
20.84,pPC071,Control,Actin,500,1,72
18.16,pPC071,Control,Actin,500,2,72
18.99,pPC071,Control,Actin,500,3,72
13.49,pPC071,Control,Actin,0,1,72
13.52,pPC071,Control,Actin,0,2,72
13.70,pPC071,Control,Actin,0,3,72
13.72,pPC071,Control,Actin,500,1,72
13.66,pPC071,Control,Actin,500,2,72
13.94,pPC071,Control,Actin,500,3,72
13.12,pPC071,Control,Actin,0,1,72
13.52,pPC071,Control,Actin,0,2,72
13.21,pPC071,Control,Actin,0,3,72
13.45,pPC071,Control,Actin,500,1,72
13.53,pPC071,Control,Actin,500,2,72
13.59,pPC071,Control,Actin,500,3,72
20.95,pPC071,Target,FLuc,0,1,72
21.17,pPC071,Target,FLuc,0,2,72
21.15,pPC071,Target,FLuc,0,3,72
19.06,pPC071,Target,FLuc,500,1,72
18.69,pPC071,Target,FLuc,500,2,72
18.69,pPC071,Target,FLuc,500,3,72
21.08,pPC071,Target,FLuc,0,1,72
21.25,pPC071,Target,FLuc,0,2,72
21.08,pPC071,Target,FLuc,0,3,72
19.07,pPC071,Target,FLuc,500,1,72
19.07,pPC071,Target,FLuc,500,2,72
19.07,pPC071,Target,FLuc,500,3,72
21.45,pPC071,Target,FLuc,0,1,72
21.19,pPC071,Target,FLuc,0,2,72
21.12,pPC071,Target,FLuc,0,3,72
18.92,pPC071,Target,FLuc,500,1,72
18.93,pPC071,Target,FLuc,500,2,72
18.93,pPC071,Target,FLuc,500,3,72
